brand, joma_model, final_price, availability, shipping, type_of_sale, model
Aquaracer Ladies Watch,WAF1310.BA0817,$895.00,Out of Stock,"",Cyber Monday Sale,WAF1310.BA0817
Full-Blooded Silver Chronograph Unisex Watch,SVCK4038G,$129.89,Out of Stock,"","",SVCK4038G
Bela Ladies Watch,0605853,$249.00,Out of Stock,"","",0605853
Eco-Drive 180 Men's Watch,BM6555-54E,$139.99,In Stock.,Free Shipping,Cyber Monday Sale,BM6555-54E
Silhouette Ladies Eco-Drive Watch,EW1270-06A,$74.99,Out of Stock,"",Cyber Monday Sale,EW1270-06A
Serano Eco Drive Ladies Watch,EP5830-56D,$304.50,Out of Stock,"","",EP5830-56D
Dolce & Gabbana Song Men's Watch,DW0303,$170.00,Out of Stock,"","",DW0303
Junior Sport Black Dial Stainless Steel Men's Watch,0605746,$299.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,0605746
Full-Blooded Chronograph Dold Dial Gold-tone Ladies Watch,SVCK4032G,$113.03,Out of Stock,"","",SVCK4032G
Irony Automatic Body and Soul Men's Watch,YAS100G,$120.43,Out of Stock,"",Cyber Monday Sale,YAS100G
112 Twirl Bangle Ladies Watch,YA112425,$419.00,In Stock.,Free Shipping,Black Friday Sale,YA112425
Black Dial Black Leather Men's Watch,AR2411,$105.99,In Stock.,Free Shipping,Cyber Monday Sale,AR2411
Men's Analog Watch,DZ1206,$77.99,In Stock.,$5.99 Shipped,Cyber Monday Sale,DZ1206
Skin Classic Climber Flowery Ladies Watch,SFK300G,$79.93,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",SFK300G
Once Again Watch,GB743,$36.50,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",GB743
T-Touch Expert Titanium Analog/Digital Men's Watch,T013.420.44.202.00,$675.00,Out of Stock,"",Cyber Monday Sale,T0134204420200
I-Gucci 114 Men's Digital Watch,YA114207,$749.00,Ships In 1 - 3 Days.,Free Shipping,Black Friday Sale,YA114207
112 Twirl Ladies Watch,"",$449.00,Ships In 1 - 2 Weeks.,Free Shipping,Black Friday Sale,YA112417
Ladies Eco Drive Stainless Steel Watch,EW1410-50E,$134.99,In Stock.,Free Shipping,Cyber Monday Sale,EW1410-50E
Men's Bracelet Eco Drive Flexible Band Gold-tone Watch,BM8452-99P,$97.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,BM8452-99P
Men's Eco-drive Stainless Steel Watch,BM6670-56E,$134.99,In Stock.,Free Shipping,Cyber Monday Sale,BM6670-56E
Stanford Multifunction Men's Watch,1790606,$69.99,Out of Stock,"",Cyber Monday Sale,1790606
Irony Medium Fancy Me Watch,YLS430,$78.29,Out of Stock,"","",YLS430
Eco-Drive Chronograph Men's Watch,AT0810-55X,$159.99,Out of Stock,"",Cyber Monday Sale,AT0810-55X
114 I-Gucci Men's Digital Watch,YA114209,$765.00,In Stock.,Free Shipping,Black Friday Sale,YA114209
Bela Ladies Watch,0605855,$464.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,0605855
Sapphire Silver Mirror Men's Watch,0606093,$975.00,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,0606093
V8 Steel Chronograph Brown Men's Watch,T36.1.316.72,$235.00,In Stock.,Free Shipping,Cyber Monday Sale,T36131672
Silver Oversized Runway Watch,MK8086,$147.99,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,MK8086
Classic White Enamel Dial Black Leather Men's Watch,1710207,$59.99,Out of Stock,"",Cyber Monday Sale,1710207
Eco Drive Stiletto Men's Watch,AR3015-53E,$239.00,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,AR3015-53E
Carrera Diamond Quartz Ladies Watch,WV1410.BA0793,"$1,795.00",In Stock.,Free Shipping,Cyber Monday Sale,WV1410.BA0793
Perpetual Calendar Eco-Drive Men's Watch,BL5400-52A,$239.99,In Stock.,Free Shipping,Cyber Monday Sale,BL5400-52A
Sea-Touch Watch,T026.420.11.031.01,$774.83,Out of Stock,"","",T0264201103101
Couturier Men's Watch,T035.617.11.051.00,$329.00,In Stock.,Free Shipping,Cyber Monday Sale,T0356171105100
Snowcovered White Unisex Watch,GK733,$42.54,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",GK733
Originals Gents Color The Sky Watch,GS124,$42.54,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",Gs124
Sea Touch White Dial Chronograph Men's Watch,T026.420.11.031.00,$439.00,In Stock.,Free Shipping,Cyber Monday Sale,T0264201103100
Ladies G Gucci Watch,ya125507,$399.00,In Stock.,Free Shipping,Black Friday Sale,YA125507
Eco Drive WR100 Sport Men's Watch,BM8430-59E,$109.00,In Stock.,Free Shipping,Cyber Monday Sale,BM8430-59E
Dress Steel Black Ladies Watch,SUJD53,$79.00,Out of Stock,"",Cyber Monday Sale,SUJD53
Golden Blair Glitz Watch,MK5166,$147.99,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,MK5166
Ladies Chronograph White Crystal Stainless Steel Watch,MK5165,$147.99,Out of Stock,"",Cyber Monday Sale,MK5165
Diamond Ladies Watch,SUJF26,$64.86,Out of Stock,"","",SUJF26
Monaco Chronograph Racing Watch,CAW2114.FT6021,"$3,495.00",Ships In 3 - 5 Weeks.,Free Shipping,Cyber Monday Sale,CAW2114.FT6021
Perpetual Calendar Eco Drive Men's Watch,BL5410-59A,$261.00,Out of Stock,"","",BL5410-59A
Eco Drive Men's Watch,AT0940-50E,$183.57,Out of Stock,"",Cyber Monday Sale,AT0940-50E
Men's Eco-Drive 180 Gold-Tone Leather Watch,BW0072-07P,$123.75,Out of Stock,"","",BW0072-07P
Temo Ladies Watch,0605904,$349.00,Out of Stock,"",Black Friday Sale  Exp. 11/29,0605904
Ladies Two-tone Bracelet Watch,MK5057,$134.99,Out of Stock,"",Cyber Monday Sale,MK5057
Originals Gent Just White Watch,GW151,$36.50,Out of Stock,"","FREE DOMESTIC SHIPPING  WITH CODE ""FASTSHIP""",GW151
Gold-tone Men's Watch,MK8077,$149.00,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,MK8077
Generosi-T Ladies Watch,T007.309.11.116.00,$458.27,Out of Stock,"","",T0073091111600
T-Classic Le Locle Silver Dial Black Leather Men's Watch T41.1.423.33,T41.1.423.33,$345.00,In Stock.,Free Shipping,Cyber Monday Sale,T41142333
Grandeur 45mm White Dial Chronograph Men's Watch,TW55,$230.00,Out of Stock,"","",TW55
Grandeur 45 MM Mother Of Pearl Dial Unisex Watch,TW54,$124.99,Out of Stock,"",Cyber Monday Sale,TW54
Dexter Chronograph Men's Watch,CH2573,$57.99,Ships In 1 - 2 Weeks.,$5.99 Shipped,Cyber Monday Sale,CH2573
G Timeless Ladies Watch,YA126502,$429.00,Ships In 1 - 3 Days.,Free Shipping,Black Friday Sale,YA126502
Timeless Men's Chronograph Watch,YA126207,$495.00,Out of Stock,"",Black Friday Sale,YA126207
CEO 45 MM Chronograph Brown Dial Men's Watch,"",$331.72,Out of Stock,"","",CE1011
PRS 516 Men's Chronograph Watch,T044.417.21.051.00,$324.00,In Stock.,Free Shipping,Cyber Monday Sale,T0444172105100
T-Classic Desire Men's Watch,T52.1.481.31,$165.00,In Stock.,Free Shipping,Cyber Monday Sale,T52148131
PRS516 Chronograph Men's Watch,T044.417.21.031.00,$325.00,In Stock.,Free Shipping,Cyber Monday Sale,T0444172103100
Ladies Le Locle Watch,T41.1.183.33,$365.00,In Stock.,Free Shipping,Cyber Monday Sale,T41118333
Eco Drive Stainless Steel Ladies Watch,EW9920-50E,$109.99,In Stock.,Free Shipping,Cyber Monday Sale,EW9920-50E
G Timeless Men's Watch,YA126406,$419.00,Out of Stock,"",Black Friday Sale,YA126406
G-Frame Ladies Watch,YA127501,$395.00,Ships In 1 - 3 Days.,Free Shipping,Black Friday Sale,YA127501
G-Frame Diamond Dial Bracelet Watch,YA127504,$468.31,In Stock.,Free Shipping,Black Friday Sale,YA127504
Baby G Pink Digital Dial Multifunction Ladies Watch,BG169R-1B,$72.00,Out of Stock,"","",BG169R-1B
Sapphire PVD Black Bracelet Men's Watch,0606307,$999.00,In Stock.,Free Shipping,Black Friday Sale  Exp. 11/29,0606307
Carrera Ladies Watch,WV1415.BA0793,"$1,349.00",In Stock.,Free Shipping,Cyber Monday Sale,WV1415.BA0793
Paladion Mother of Pearl Dial  Brushed two Tone Stainless Steel Ladies Watch,EW1594-55D,$229.99,Ships In 1 - 2 Weeks.,Free Shipping,Cyber Monday Sale,EW1594-55D
T-Classic T-One Men's Watch,T038.430.11.037.00,$399.00,In Stock.,Free Shipping,Cyber Monday Sale,T0384301103700
T-One Men's Automatic Watch,T038.430.11.057.00,$399.00,In Stock.,Free Shipping,Cyber Monday Sale,T0384301105700
T-Classic Desire White Dial Black Leather Men's Watch,T52142113,$149.99,In Stock.,Free Shipping,Cyber Monday Sale,T52142113
